ttretreeweeweejztetxtt	tre	jastreb bistrooki.
eeoeeet:ttoeetentezetm	ete	kakor veter z drobno travo
eeoeeet:ttoeetentezetm	ten	Potem pa se je obrnila v steno.
eeoeeet:ttoeetentezetm	ent	adventni čas kesanja,
eeoeeet:ttoeetentezetm	tez	odprite mu vse na stezaj!
eeoeeet:ttoeetentezetm	eze	kjer križ železen, kamenit je krov, 
eeoeeet:ttoeetentezetm	zet	prevzetni županek Pedanj...
msewotyyejemate3eaoz;emt	eje	ena luč žari krasneje
msewotyyejemate3eaoz;emt	jem	ker zemljo mrak objema,
msewotyyejemate3eaoz;emt	ema	na gorkem se objemajoč — —»
msewotyyejemate3eaoz;emt	mat	Vsi drugi, mati, tak prešerno
msewotyyejemate3eaoz;emt	ate	in grem — a, katedrala,
tettjemm3aretnanajtpt	tet	Nebó gorí od zvezd neštetih,
tettjemm3aretnanajtpt	tje	Vmes pa jok in stok in petje mečev? …«
tettjemm3aretnanajtpt	jem	kaj naj plakam, naj vzdihujem?
tettjemm3aretnanajtpt	are	Majka zemlja, da si še starejša,
tettjemm3aretnanajtpt	ret	in prva zvezda, druga, tretja še
tettjemm3aretnanajtpt	etn	saj nisi nikakšna svetnica!
tettjemm3aretnanajtpt	tna	Poživi bog teh petnajst let...
tettjemm3aretnanajtpt	nan	vsake dveri zaprte, nanje trkam s prošnjó,
tettjemm3aretnanajtpt	ana	parfumirana pisma poleg drobnih kuvert. 
tettjemm3aretnanajtpt	naj	naj reši jo nevarne tovaršije,
tettjemm3aretnanajtpt	ajt	Šijte po módi, dajajte v natis,
tee_myttcemeoedeoe	tce	in še z otcem njenim.
tee_myttcemeoedeoe	cem	in še z otcem njenim.
tee_myttcemeoedeoe	eme	Semeniščnik mlad s kitaro
tee_myttcemeoedeoe	meo	ko je Romeo otožen
tee_myttcemeoedeoe	ede	Po nedeljskem jutru oblački plavajo
tezetrtetetemiettt	tez	v snegu zajčje so stezé.
tezetrtetetemiettt	eze	ljubezen ji gorí v očéh.
tezetrtetetemiettt	zet	v sladkem zavzetju ...
tezetrtetetemiettt	etr	prišli so vetrovi,
tezetrtetetemiettt	trt	je-li, četrtega
tezetrtetetemiettt	rte	je-li, četrtega
tezetrtetetemiettt	tet	bdim, kot mati nad detetom čuje.
tezetrtetetemiettt	ete	Kot svetel kerub duša tvoja sred višin
tezetrtetetemiettt	tet	tjà ne morem pohiteti.
tezetrtetetemiettt	ete	orel zrastel, odletel je;
tezetrtetetemiettt	tem	kot v temi bil zvonjenje,
tezetrtetetemiettt	emi	Pojdita po luči in temi
eetttttmiteneeetet_	tmi	s perutmi sta vztrepavala,
eetttttmiteneeetet_	mit	Ah, nagni k meni, Sulamit,
eetttttmiteneeetet_	ite	obraza ljubega, zakritega,
eetttttmiteneeetet_	ten	bolesten, tožen njen smehljaj,
eetttttmiteneeetet_	ene	od štirih do ene 
eetttttmiteneeetet_	ete	srečen bil spočetek moj?
eetttttmiteneeetet_	tet	neštetih ljudstev, gostih trum
t4tuajnroet_winefmseatee	ajn	izmolil seljak še za rajnkih pokoj,
t4tuajnroet_winefmseatee	oet	»Poetje!« — on zavpije z glasom hudim —
t4tuajnroet_winefmseatee	ine	odzivljejo se skale in tišine
t4tuajnroet_winefmseatee	ate	in gre k Matere božje kapelici gor
ewetmotnt_tcet2:tt	tmo	in kratek dan in tmo in noč nató
ewetmotnt_tcet2:tt	mot	samotna, samotnejša
ewetmotnt_tcet2:tt	otn	pobotnico, tožbó.
ewetmotnt_tcet2:tt	tce	in še z otcem njenim.
ewetmotnt_tcet2:tt	cet	trpkost, zlost et cetera,
teemtmeeeeeaettneteant	tme	Kdo otme
teemtmeeeeeaettneteant	aet	Maeterlinck.
niom4tmeaeeeteeoteeeeee	tme	Kdo otme
niom4tmeaeeeteeoteeeeee	ete	Kot svetel kerub duša tvoja sred višin
niom4tmeaeeeteeoteeeeee	ote	Klanjam se Ti, spoštujem Te in občudujem ker si storil to, kar doslej še ni nihče. Ti si »ausserordentlich feinfuhlig!« Spoznal si me tako rekoč nevede, seveda toliko, kolikor sam sebe jaz poznam. Jaz sem v resnici čuden človek. Življenje vnanjo se mi zdi kot nekaj kar ni moje in kar me samo zanima - Iz tega reflekta duševnega si boš lažje marsikatero pesem razložil - Včasih se mi zdi veliko in lepo, da ga občudujem in se tresem v neki sveti tihoti, včasih pusto, prazno, mrtvo ... Izjokal bi se, ubil bi se! Ljudje se mi zde nekaj grozovito - ne vem kako bi se izrazil - Te utisi se menjavajo včasih hipno in pretresel si me s svojim stavkom »Ali vrag vedi, ta krajina se zdi človeku danes lepa in velika, trenotek potem pa mrtva in prazna -«, ker si mi tako izborno pogodil notranjost. Včasih mislim da sem blazen. Polasti se me "ein dumpfer Zustand" - Tedaj se vidim pogreznjenega v velik kup blata, vse v meni se razpusti, oči mi zazevajo - Vse se mi zdi tuje, brezglasno, neiznosno. Drugič zopet se mi zdi, kot bi plaval v neskončnih krogih, ovit okoli celega sveta, nad zemljo in se ji ostudno zaničujoče rogal in ji pluval v obraz. (Morebiti je ta odtujenost odmev temnih, odtujojočih razmer, med katerimi sem tako čudno rasel ...)
astetwmaeneemmeettgrts	ast	Oj ti jagnjet visokorastoči,
astetwmaeneemmeettgrts	ste	Pesmi nemirne, čemu ste letele
astetwmaeneemmeettgrts	tet	nešteti milijoni.
astetwmaeneemmeettgrts	mae	Maeterlinck.
astetwmaeneemmeettgrts	ene	od štirih do ene 
astetwmaeneemmeettgrts	mme	II faut que tout homme trouve
ttot'eoestotteutttamo	tot	krotke, nežne — hvalo ti stoterno!
teeeajtmeptittastmwtmat	ajt	Ah, zapojte, zaigrajte
teeeajtmeptittastmwtmat	tme	Kdo otme
teenemtetamettneetemdte	ene	Noč in dan s hrepenenjem
ttnutvcmeeqtteeglteegg	nut	Dalje praviš, da ne veš kam merim in kje se ustavim. Moj Bog, če bi jaz kam meril, bi bile pesni v resnici drugačne. A to mi ni prišlo doslej niti na misel. Vrgel sem na papir posamezne trenutke in utise, in mučno svetsko naziranje svoje duše. Trenutki, samo trenutki! V njih dostikrat sam sebe ne poznam - zde se mi velikanski vzdih - neznanega sveta. (Govorim tudi o pesmih, ki ti jih nisem poslal, pa Ti jih pokažem skupno ko prideš v Ljubljano.) Mogoče to ni pravo, vsaj v duši čutim večkrat in vedno večkrat »ein Werden«, neko polnost, osvajujočo si nadvlado. Dovolj!
ttnutvcmeeqtteeglteegg	egl	krog belih udov kot meglé
emebuejtwto30eitget	eme	V obupu nemem zdihovalo si.
tneegeeejt,ettee,tt	tne	Temotna, temotnejša
tneegeeejt,ettee,tt	ege	legel je popotnik v travo
efejewtttejmgimwgmzee2meet	eje	Ne le veje smrek,
tttttttft?ee::wgme	ft?	Šum vira in zefira
tttttttft?ee::wgme	t?e	v brezno morjá strmoglavila je. Dober večer!
etmzetteetgeemnettwns	mze	nad mano zimzeleni plavajo.
